ingredient,default_vol_amt,default_vol_unit,vol_conv_factor_to_cups,target_uom,target_quantity
'00' Pizza Flour,1,cup,1,ounces,4
'00' Pizza Flour,1,cup,1,grams,116
Agave syrup,0.25,cup,1,ounces,12
Agave syrup,0.25,cup,1,grams,336
All-Purpose Flour,1,cup,1,ounces,4.25
All-Purpose Flour,1,cup,1,grams,120
Almond Flour,1,cup,1,ounces,3.375
Almond Flour,1,cup,1,grams,96
Almond butter,0.25,cup,1,ounces,9.33333333333333
Almond butter,0.25,cup,1,grams,272
Almond meal,1,cup,1,ounces,3
Almond meal,1,cup,1,grams,84
Almond paste (packed),1,cup,1,ounces,9.125
Almond paste (packed),1,cup,1,grams,259
Almonds (sliced),0.5,cup,1,ounces,3
Almonds (sliced),0.5,cup,1,grams,86
Almonds (slivered),0.5,cup,1,ounces,4
Almonds (slivered),0.5,cup,1,grams,114
"Almonds, whole (unblanched)",1,cup,1,ounces,5
"Almonds, whole (unblanched)",1,cup,1,grams,142
Amaranth flour,1,cup,1,ounces,3.625
Amaranth flour,1,cup,1,grams,103
Apple juice concentrate,0.25,cup,1,ounces,10
Apple juice concentrate,0.25,cup,1,grams,280
"Apples (dried, diced)",1,cup,1,ounces,3
"Apples (dried, diced)",1,cup,1,grams,85
"Apples (peeled, sliced)",1,cup,1,ounces,4
"Apples (peeled, sliced)",1,cup,1,grams,113
Applesauce,1,cup,1,ounces,9
Applesauce,1,cup,1,grams,255
"Apricots (dried, diced)",0.5,cup,1,ounces,4.5
"Apricots (dried, diced)",0.5,cup,1,grams,128
Artisan Bread Flour,1,cup,1,ounces,4.25
Artisan Bread Flour,1,cup,1,grams,120
Artisan Bread Topping,0.25,cup,1,ounces,6
Artisan Bread Topping,0.25,cup,1,grams,172
Baker's Cinnamon Filling,1,cup,1,ounces,5.375
Baker's Cinnamon Filling,1,cup,1,grams,152
Baker's Fruit Blend,1,cup,1,ounces,4.5
Baker's Fruit Blend,1,cup,1,grams,128
"Baker's Special Sugar (superfine sugar, castor sugar)",1,cup,1,ounces,6.75
"Baker's Special Sugar (superfine sugar, castor sugar)",1,cup,1,grams,190
Baking Sugar Alternative,1,cup,1,ounces,6
Baking Sugar Alternative,1,cup,1,grams,170
Baking powder,1,teaspoon,48,ounces,0.166666666666667
Baking powder,1,teaspoon,48,grams,4
Baking soda,0.5,teaspoon,48,ounces,0.2
Baking soda,0.5,teaspoon,48,grams,6
Bananas (mashed),1,cup,1,ounces,8
Bananas (mashed),1,cup,1,grams,227
Barley (cooked),1,cup,1,ounces,7.625
Barley (cooked),1,cup,1,grams,215
Barley (pearled),1,cup,1,ounces,7.5
Barley (pearled),1,cup,1,grams,213
Barley flakes,0.5,cup,1,ounces,3.25
Barley flakes,0.5,cup,1,grams,92
Barley flour,1,cup,1,ounces,3
Barley flour,1,cup,1,grams,85
Barley malt syrup,2,tablespoon,16,ounces,0.75
Barley malt syrup,2,tablespoon,16,grams,21
Basil pesto,2,tablespoon,16,ounces,0.5
Basil pesto,2,tablespoon,16,grams,14
Bell peppers (fresh),1,cup,1,ounces,5
Bell peppers (fresh),1,cup,1,grams,142
Berries (frozen),1,cup,1,ounces,5
Berries (frozen),1,cup,1,grams,142
Better Cheddar Cheese Powder,0.5,cup,1,ounces,4
Better Cheddar Cheese Powder,0.5,cup,1,grams,114
Blueberries (dried),1,cup,1,ounces,5.5
Blueberries (dried),1,cup,1,grams,156
Blueberries (fresh or frozen),1,cup,1,ounces,5.5
Blueberries (fresh or frozen),1,cup,1,grams,155
Blueberry juice,1,cup,1,ounces,8.5
Blueberry juice,1,cup,1,grams,241
Boiled cider,0.25,cup,1,ounces,12
Boiled cider,0.25,cup,1,grams,340
Bran cereal,1,cup,1,ounces,2.125
Bran cereal,1,cup,1,grams,60
Bread Flour,1,cup,1,ounces,4.25
Bread Flour,1,cup,1,grams,120
Bread crumbs (Japanese Panko),1,cup,1,ounces,1.75
Bread crumbs (Japanese Panko),1,cup,1,grams,50
Bread crumbs (dried),0.25,cup,1,ounces,4
Bread crumbs (dried),0.25,cup,1,grams,112
Bread crumbs (fresh),0.25,cup,1,ounces,3
Bread crumbs (fresh),0.25,cup,1,grams,84
Brown rice (cooked),1,cup,1,ounces,6
Brown rice (cooked),1,cup,1,grams,170
Brown rice flour,1,cup,1,ounces,4.5
Brown rice flour,1,cup,1,grams,128
"Brown sugar (dark or light, packed)",1,cup,1,ounces,7.5
"Brown sugar (dark or light, packed)",1,cup,1,grams,213
Buckwheat (whole),1,cup,1,ounces,6
Buckwheat (whole),1,cup,1,grams,170
Buckwheat Flour,1,cup,1,ounces,4.25
Buckwheat Flour,1,cup,1,grams,120
Bulgur,1,cup,1,ounces,5.375
Bulgur,1,cup,1,grams,152
Butter,8,tablespoon,16,ounces,0.5
Butter,8,tablespoon,16,grams,14.125
Buttermilk,1,cup,1,ounces,8
Buttermilk,1,cup,1,grams,227
Buttermilk powder,2,tablespoon,16,ounces,0.333333333333333
Buttermilk powder,2,tablespoon,16,grams,9
Cacao nibs,1,cup,1,ounces,4.25
Cacao nibs,1,cup,1,grams,120
Cake Enhancer,2,tablespoon,16,ounces,0.25
Cake Enhancer,2,tablespoon,16,grams,7
Candied Lemon Peel,0.25,cup,1,ounces,5.33333333333333
Candied Lemon Peel,0.25,cup,1,grams,148
Candied Orange Peel,0.25,cup,1,ounces,3.5
Candied Orange Peel,0.25,cup,1,grams,100
"Caramel (14-16 individual pieces, 1"""" squares)",0.5,cup,1,ounces,10
"Caramel (14-16 individual pieces, 1"""" squares)",0.5,cup,1,grams,284
Caramel bits (chopped Heath or toffee),1,cup,1,ounces,5.5
Caramel bits (chopped Heath or toffee),1,cup,1,grams,156
Caraway seeds,2,tablespoon,16,ounces,0.3125
Caraway seeds,2,tablespoon,16,grams,9
Carrots (cooked and puréed),0.5,cup,1,ounces,9
Carrots (cooked and puréed),0.5,cup,1,grams,256
Carrots (diced),1,cup,1,ounces,5
Carrots (diced),1,cup,1,grams,142
Carrots (grated),1,cup,1,ounces,3.5
Carrots (grated),1,cup,1,grams,99
Cashews (chopped),1,cup,1,ounces,4
Cashews (chopped),1,cup,1,grams,113
Cashews (whole),1,cup,1,ounces,4
Cashews (whole),1,cup,1,grams,113
Celery (diced),1,cup,1,ounces,5
Celery (diced),1,cup,1,grams,142
Cheese (Feta),0.5,cup,1,ounces,4
Cheese (Feta),0.5,cup,1,grams,114
Cheese (Ricotta),1,cup,1,ounces,8
Cheese (Ricotta),1,cup,1,grams,227
Cheese (grated Parmesan),0.5,cup,1,ounces,3.5
Cheese (grated Parmesan),0.5,cup,1,grams,100
"Cheese (grated cheddar, jack, mozzarella, or Swiss)",1,cup,1,ounces,4
"Cheese (grated cheddar, jack, mozzarella, or Swiss)",1,cup,1,grams,113
Cherries (candied),0.25,cup,1,ounces,7
Cherries (candied),0.25,cup,1,grams,200
Cherries (dried),0.5,cup,1,ounces,5
Cherries (dried),0.5,cup,1,grams,142
"Cherries (fresh, pitted, chopped)",0.5,cup,1,ounces,5.75
"Cherries (fresh, pitted, chopped)",0.5,cup,1,grams,160
Cherries (frozen),1,cup,1,ounces,4
Cherries (frozen),1,cup,1,grams,113
Cherry Concentrate,2,tablespoon,16,ounces,0.75
Cherry Concentrate,2,tablespoon,16,grams,21
Chia seeds,0.25,cup,1,ounces,5.33333333333333
Chia seeds,0.25,cup,1,grams,148
Chickpea flour,1,cup,1,ounces,3
Chickpea flour,1,cup,1,grams,85
Chives (fresh),0.5,cup,1,ounces,1.5
Chives (fresh),0.5,cup,1,grams,42
Chocolate (chopped),1,cup,1,ounces,6
Chocolate (chopped),1,cup,1,grams,170
Chocolate Chips,1,cup,1,ounces,6
Chocolate Chips,1,cup,1,grams,170
Chocolate Chunks,1,cup,1,ounces,6
Chocolate Chunks,1,cup,1,grams,170
Cinnamon Sweet Bits,0.25,cup,1,ounces,5
Cinnamon Sweet Bits,0.25,cup,1,grams,140
Cinnamon-Sugar,0.25,cup,1,ounces,7
Cinnamon-Sugar,0.25,cup,1,grams,200
Climate Blend Flour,1,cup,1,ounces,4
Climate Blend Flour,1,cup,1,grams,115
Cocoa (unsweetened),0.5,cup,1,ounces,3
Cocoa (unsweetened),0.5,cup,1,grams,84
"Coconut (sweetened, shredded)",1,cup,1,ounces,3
"Coconut (sweetened, shredded)",1,cup,1,grams,85
Coconut (toasted),1,cup,1,ounces,3
Coconut (toasted),1,cup,1,grams,85
"Coconut (unsweetened, desiccated)",1,cup,1,ounces,3
"Coconut (unsweetened, desiccated)",1,cup,1,grams,85
"Coconut (unsweetened, large flakes)",1,cup,1,ounces,2.125
"Coconut (unsweetened, large flakes)",1,cup,1,grams,60
"Coconut (unsweetened, shredded)",1,cup,1,ounces,1.875
"Coconut (unsweetened, shredded)",1,cup,1,grams,53
Coconut Flour,1,cup,1,ounces,4.5
Coconut Flour,1,cup,1,grams,128
Coconut Milk Powder,0.5,cup,1,ounces,4
Coconut Milk Powder,0.5,cup,1,grams,114
Coconut cream (unsweetened),1,cup,1,ounces,10
Coconut cream (unsweetened),1,cup,1,grams,284
Coconut milk (evaporated),1,cup,1,ounces,8.5
Coconut milk (evaporated),1,cup,1,grams,242
"Coconut milk; canned, well shaken",1,cup,1,ounces,8.5
